Tankname,Armament,Country users,Designer Country,Combat Equipment,Crew,Armor,Weight(kg),Speed(km/h),Range(km),Dimensions,Accessories,Length(m),Width(m),Height(m)
Leopard 2A5,"One 120mm smoothbore gun, one 7.62mm coaxial machine gun, and one 7.62mm anti-aircraft machine gun.","Germany, Greece, Poland, Spain, Sweden",Germany,"Collective NBC protection system, power pack preheating, crew compartment heater, a fire extinguishing system, electric bilge pumps and an escape hatch, computer firing system, laser range finder, thermal sight, night/day vision systems",4,"Stand spaced multilayer armor, improved armor protection over the frontal arc and composite armor.","55,400 to 62,500 ",72,450,Length: 9.67 m; Width: 3.77 m; Height: 2.64 m,,9.67,3.77,2.64
Leopard 2A6,"One 120mm L55 smoothbore gun, one coaxial 7.62mm machine gun and one anti-aircraft 7.62 mm on the top of the loader hatch","Austria, Canada, Chile, Denmark, Finland, Germany, Greece, Norway, Poland, Portugal, Singapore, Switzerland, Sweden, Spain, Turkey and Ukraine.",Germany,,4,"Standard-spaced multilayer armour, improved armour protection over the front turret and the turret interior has been fitted with spall liners","62,000  combat conditions",72  maximum road speed,500,Length: 7.70 m; Width: 3.70 m; Height: 3.00 m,"Infrared night vision, NBC protection system.",7.7,3.7,3
Leopard 2A7+,"120 mm / L55 smoothbore cannon, 12.7 mm machine gun, 40 mm grenade launcher, and 7.62 mm coaxial machine gun.","Czech Republic, Germany, Qatar, Hungary",Germany,,4,"IED and mine protection modular concept, All-around protection kit against anti-tank weapons, mines, and IEDs","67,500",72,450,Length: 10.97 m; Width: 4.00 m; Height: 2.64 m,"Computerized firing control, 360° near field surveillance, searchlight, auxiliary Power Unit for the silent mode, Infantry telephone box, cooling system for electronic components and crew.",10.97,4,2.64
Leopard 2A7,"120 mm / L55 smoothbore cannon, 12.7 mm machine gun, 40 mm grenade launcher, and 7.62 mm coaxial machine gun.","Germany, Denmark, Norway",Germany,,4,All-around armor against modern ATGW Anti-Tank Guided Weapons and RPG Rocket Propelled Grenades threats.,"64,500",70,450,Length: 10.97 m; Width: 3.81 m; Height: 3.64 m,"Collective NRBC system, power pack preheating, crew compartment heater, a fire extinguishing system, electric bilge pumps, thermal imaging system, auxiliary power unit, crew compartment cooling system, panoramic sight for the commander",10.97,3.81,3.64
Leopard 2A7A1.,"One 120mm cannon, one 7.62mm coaxial machine gun, and one 7.62mm machine mounted on the commander hatch",Germany,Germany,"EMES 15 fire control system, thermal imaging cameras, laser rangefinder, Trophy Active Protection System (APS), Attica thermal imaging cameras, laser warning receivers, auxiliary power unit (20 kW) with stabilizing ultracaps, crew compartment cooling unit (16 kW for turret and chassis), battlefield management system, 360° Local Situational Awareness System, Laser Warning System, NBC protection system.",4,"Modular composite armor, improved mine protection, upgraded modular protection for chassis front and turret, 360° turret protection, Trophy Active Protection System (APS), reinforced belly armor, and spall liners.",61.500–64.300 (depending on configuration),"60  forward, 28  reverse",400  on road,Length: 10.96 m; Width: 3.77 m; Height: 3.18 m,,10.96,3.77,3.18
Leopard 2A8,"120 mm / L55 smoothbore cannon, 7.62 mm coaxial machine gun, and Trophy APS countermeasure launcher.","Germany, Czech Republic",Germany,"Collective NRBC system, power pack preheating, crew compartment heater, a fire extinguishing system, electric bilge pumps, thermal imaging system, auxiliary power unit, crew compartment cooling system, panoramic sight for the commander",4,A new generation of active and passive all-around armor providing protection against modern ATGW Anti-Tank Guided Weapons and RPG Rocket Propelled Grenades threats.,"65,000 - 67,000 ",70  on the road,450,Length: 7.7 m; Width: 4.0 m; Height: 3.0 m,,7.7,4,3
M-84 MBT,,"Bosnia and Herzegovina, Croatia, Kuwait, Serbia, and Slovenia",,,3,"multilayer armor consisting of steel, aluminum, titanium, and other materials","42,000",,,Length: 6.86 m; Width: 3.57 m; Height: 2.19 m (Hull),,6.86,3.57,  2.19 (Hull)
M-84AS,"One 125mm gun, one 7.62mm coaxial machine gun, one 12.7mm heavy machine gun.",Serbia,Serbia,,3,"Non-explosivend non-energetic reactivermour (NERA), Kontakt-5rmor","45,000",75,700  maximum,Length: 9.53 m; Width: 3.73 m; Height: 2.23 m,"NBC protection system,fire control system, laser range finder, commander's panoramic surveillancend observation station, thermal imager system.",9.53,3.73,2.23
M1 Abrams,"One 105mm gun, one 7.62mm coaxial machine gun, one 12.7mm anti-aircraft machine",United States,United States,,4,Chobham armour,"55,000",67,426,Length: 7.91 m; Width: 3.65 m; Height: 2.88 m,"Fire control system, NBC protection system, night vision,",7.91,3.65,2.88
M1A1 Abrams,"One 105mm gun, one 7.62mm coaxial machine gun, one 12.7mm anti-aircraft machine",United States,United States,,4,Chobham armour,"55,000",67,426,Length: 7.91 m; Width: 3.65 m; Height: 2.88 m,"Fire control system, NBC protection system, night vision,",7.91,3.65,2.88
M1A1 SA,"One 120 mm M256 Smooth Bore Cannon, one coaxial 7.62mm MAG58 machine gun, one 7.62mm machine gun for loader hatch,one 12.7mm machine gun","United States, Australia, Morocco, Iraq",United States,,"4 (Commander, Gunner, Loader, Driver).",Chobhamrmour+ new 3rd generation depleted uraniumrmor components.,"63,500",67,426,Lenght: 9.83 m; Width: 3.65 m; Height: 2.43 m,"NBC protection system, IR night vision, battle mangement system, computerized fire control.",9.83,3.65,2.43
M1A2 Abrams Sep V2,"One 120 mm M256 smoothbore gun, one coaxial 7.62 mm M240 MG, CROWS II Remotely Operated Weapon Station with 12.7mm machine gun, one 7.62 mm M240 machine gun",United States,United States,,4,Improved frontalnd sidermour,"63,000",68,425,Length: 9.77 m; Width: 3.7 m; Height: 2.4 m,"Second generation infrared sight system,uxiliary power, high-resolution color displays",9.77,3.7,2.4
M1A2 Abrams Sep V3 M1A2C,"One 120 mm M256 smoothbore gun, one coaxial 7.62 mm M240 MG, CROWS II Remotely Operated Weapon Station with 12.7mm machine gun, one 7.62 mm M240 machine gun",United States,United States,,4,New armor package for hull and turret to increase protection against IED threats.,"73,600",68,425,Length: 9.77 m; Width: 3.7 m; Height: 2.4 m,"The second-generation infrared sight system, auxiliary power, high-resolution color displays, Improved Forward-Looking Infrared, Ammunition DataLink",9.77,3.7,2.4
M1A2 Abrams,"One 120 mm M256 smoothbore gun, one coaxial 7.62 mm M240 MG, one 12.7 mm M2 machine gun, one 7.62 mm M240 machine gun","United States, Saudi Arabia, Kuwait, Taiwan",United States,,4,Chobham armor and 2nd generation depleted uranium armor,"63,086",68,425,Length: 7.92 m; Width: 3.65 m; Height: 2.88 m,"Thermal viewer, NBC protection system, navigation unit, Computerized Fire Control Electronics Unit, night vision",7.92,3.65,2.88
M1A2 SEP,"One 120 mm M256 smoothbore gun, one coaxial 7.62 mm M240 MG, one 12.7 mm M2 machine gun, one 7.62 mm M240 machine gun",United States,United States,,4,Improved frontal and side armour,"63,000",68,425,Length: 9.77 m; Width: 3.7 m; Height: 2.4 m,"Second generation infrared sight system, auxiliary power, high-resolution color displays",9.77,3.7,2.4
M551 Sheridan,"One 152mm gun, one coaxial 7.62mm machine gunnd one 12.7mmnti-aircraft machine gun",United States OPFOR vehicles,United States,,4,Aluminiumrmour which provides protectiongainst firing of smallrmsndrtillery shell splinters,"13,589  empty - 15,830 combat weight",70,600,"Length: 6.29 m; Width: 2,81 m; Height: 2,94 m","Night vision, heater, extraction fan in the turret roof, diesel cookerndn NBC protection system.",6.29,"  2,81","  2,94"
M60A3,"One 105mm gun, one 12,7mm heavy machine gunnd one 7.62mm coaxial machine gun","Austria, Bahrain, Bosnia, Brazil, Egypt, Greece, Iran, Israel, Jordan, Morocco, Oman, Portugal, Saudi Arabia, Spain, Sudan, Taiwan, Thailand, Tunisia, Turkeynd Yemen.",United States,,4,Steelrmour which provides protectiongianst firing of smallrmsnd shell splinters.,52.6,48,500,Length: 6.94 m; Width: 3.63 m; Height: 3.27 m (hull),"Laser range-finder, computerized fire control, passive night vision, fire extinguishing systemnd NBC protection system.",6.94,3.63,  3.27 (hull)
Magach6_7,"One 105mm gun, two 7.62mm machine gunsnd one 12.7mm machine gun.",Israel,Israel,,4,Passivermour package which provides protectiongainst Kinetic Energy (KE)nd Chemical Energy (CE)ttackndnti-tank missile.,"55 ,000 ",65  maximum on road,500,Lenght: 9.43 m; Width: 3.63 m; Height: 3.25 m,"Computerised Advanced Firend Control System (AFCS), night vision, NBC protection system.",9.43,3.63,3.25
Merkava 1 Mk I,Country users,Israel,,,4,Ballistic,"43,000",65,600,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,"Firing gun control system, NBC protection,", ,  ,  
Merkava 2,"One 105 mm rifled gun, three 7,62 mm machine guns, one 12,7 mm machine gun, one mortar 60 mm, and 12 smoke dischargers.",Israel,Israel,"Computerized firing control system, NBC protection, and thermal night vision.",4,Laminated armor and special armor,"61,000",61,500,Length: 7.45 m; Width: 3.70 m; Height: 2.64 m,,7.45,3.7,2.64
Merkava 3,"One120 mm rifled gun, three 7,62 mm machine guns, one mortar 60 mm, and 12 smoke dischargers.",Israel,Israel,"Firing gun computer control system, NBC protection, thermal night vision.",4,Modular special armor,"65,000",60,500,Length: 7.60 m; Width: 3.70 m; Height: 2.65 m,,7.6,3.7,2.65
Merkava 4,"One 120 mm rifled gun, three 7,62 mm machine guns, one 12,7 mm machine gun, one mortar 60 mm, and 12 smoke dischargers.",Israel,Israel,"Firing gun computer control system, NBC protection system, night vision",4,Composite matrix of laminated ceramic-steel-nickel alloy. Sloped modular design.,"65,000",60,500,Length: 7.6 m hull; Width: 3.72 m; Height: 2.66 m,, 7.6 hull,3.72,2.66
OF-40,"Canon de de 105 mm, , une mitrailleuse 7,62 mm co-axiale et une Mitrailleuse 12,7 mm montée sur la tourelle .",Emirats Arabes Unis,,,4,Protection contre lesrmes de petits calibres et les éclats d'obus.,45.5,60,600,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,"Pompes d'évacuation d'eau, système NBC, installationnti-incendie pour le compartiment moteur.", ,  ,  
PL-01,"One 105 or 120mm cannon, one 7.62mm coaxial machine gunnd one 7.62 or 12.7mm machine gun",Concept vehicle,Poland,,3 + 4 soldiers,"Protectiont the frontgainst 30mm caliber, hull STANAG 4569 Level 4and 4b",,,500,Length: 7.00 m; Width: 3.8 m; Heigh: 2.8 m,"NBC protection system, fire-extinguishing system, battlefield management system, night/day vision, heatingndir conditioning system,utomatic fire control system, radar self-protection system.",7,3.8,2.8
PT-16 MBT,"One 120mm cannon, one 7.62mm coaxial machine, one remotely operated weapon stationrmed with one 12.7mm machine gun",Under development,Poland,,3,Modular composite armour package,"47,500",70  on the road,500,Length: 9.67 m; Width: 3.34 m; Height: 2.6 m,"Battlefield management system, OBRA III laser-warning system, auxiliary power unit (APU) with air-conditioning system, NBC protection system, computerized fire control ystem.",9.67,3.34,2.6
PT-91 Twardy,"One 125 mm, one PKT 7.62mm coaxial machine gun, and one NSV 12.7 mm anti-aircraft machine gun.","Poland, Malaysia, Ukraine",Poland,"Fire control system, NBC protection system, night vision equipment.",3,Steel armor and Polish-made ERA reactive armor ERAWA-1 and ERAWA-2.,"45,300",60  road speed,650,Length: 9.67 m; Width: 3.59 m; Height: 2.19 m,,9.67,3.59,2.19
PTZ-89 Type 89 MBT (FR),Canon de 120 millimètres ; mitrailleuses en 7.62 et en .50,Chine,,,5,Protection contre lesrmes de petits calibres et les éclats d'obus.,31,55,450,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Pz 68 char (FR),"Un canon de 105 mm, une mitrailleuse coaxiale de 7,5 mm, une mitrailleusentiaérienne de 7,5 mm",Suisse,,,4,120 mm maximum,39.7,55,350,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
S-Tank Stridsvagn 103 (FR),"Canon de 105 mm, et 3 mitrailleuses de 7,62 mm.",Suède,,,3,Protection contre les armes de petits calibres et les éclats d'obus.,39,50,400,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,Deux lance tubes mortier Lyran, ,  ,  
Safir-74 T-72Z Type 72Z,"One 105 mm, one 7.62 mm coaxial machine gunnd one 12.7 mmnti-aicraft machine gun.",Iran,Russia / Iran,,4,"Protectiongainst smallrmsns shell splinters, Explosive Reactive Armor (ERA)","36,000",65  maximum road speed,510,"Length, 6.45 m; Width, 3.37 m; Height, 2.4 m","Fire control system Fotana EFPC-3-55, night visionnd NBC protection system.",6.45,3.37,2.4
T-14 Armata,"One 125mm gun, one 57mm automatic grenade launcher, one 12.7 mm machine gun",Russia,Russia,,3,"Protection against small arms and shell splinters. Active protection system and active, passive add-on armor","48,000",80 to 90  maximum road speed,500,Length: 8.7 m; Width: 3.5 m; Height: 3.3 m,"Infrared night vision, NBC protection system, automatic fire control system, active protection system,fire detection, and suppression system, battle management system",8.7,3.5,3.3
T-62,"One 115 mm 2A20 smoothbore gun, one 7.62 mm PKT coaxial machine gun and one 12.7 mm DShKM machine gun for self-protection.","Afghanistan, Algeria, Angola, Belarus, Cuba, Egypt, Ethiopia, Iran, Iraq, Israel, Kazakhstan, North Korea, Libya, Russia, Syria, Uzbekistan, Vietnam, and Yemen.",Russia,,4,"Protection against small firing arms and shell splinters, 100 mm thick maximum","40,000",50,450,Length: 9.33 m; gun forward 6.63 m hull Width: 3.3 m; Height: 2.39 m,"Infrared sight, night vision, NBC protection system, day/night vision sight,",9.33, gun forward 6.63 hull  3.3,2.39
T-62M,"One 115 mm 2A20 smoothbore gun, one 7.62 mm PKT coaxial machine gun and one 12.7 mm DShKM machine gun for self-protection.","Afghanistan, Egypt, Kazakhstan, Iraq, Syria, and Russia.",Russia,,4,"Protection against small firing arms and shell splinters, 120 mm front of the hull, 242 mm turret front","42,000",50,450,Length: 9.33 m; gun forward 6.63 m hull Width: 3.56 m; Height: 3.03 m,"Infrared sight, night vision, NBC protection system, day/night vision sight, fire control system, ballistic computer",9.33, gun forward 6.63 hull  3.56,3.03
T-64,,Russia - Ukraine - Uzbekistan,,,3,370-440 mm of RHA against HE rounds and 500-575 mm of RHA against HEAT rounds,"38,000",60,600,Length: 6.54 m; Width: 3.41 m; Height: 2.17 m,,6.54,3.41,2.17
T-64BM Bulat,"The Bulat MBT armament includes one 125mm gun, one 7.62mm coaxial machine gun, and one 12.7mm anti-aircraft machine gun.",Ukraine,Ukraine,"Day/Night vision system, NBC protection system, firing computer system, laser rangefinder, thermal imaging night sight",3,Passive (add-on) armor protection and built-in explosive reactive armor (ERA).,"47,000",60,500,Length: 6.54 m; Width: 3.6 m; Height: 2.17 m (hull),,6.54,3.6,  2.17 (hull)
T-64BV MBT,"One 125mm 2A46M-1 cannon, one 12.7mm NSVT machine gun, one 7.62mm coaxial machine gun","Russia, Uzbekistan, the Democratic Republic of the Congo, Ukraine",Russia,,3,Reactive armor Kontakt-1,"42,500",45,600,Length: 9.22 m; Width: 3.41 m; Height: 2.17 m,"NBC system, infra-red night vision equipment, laser rangefinder, ballistic computer",9.22,3.41,2.17
T-72AV,"One 125 mm 2A46M smoothbore gun, one 7.62mm coaxila machinend 12.7mm heavy machine gun","Kenya (77), Sudan (400), Nigeria (77), Georgia, RDC, Morocco,nd Russia",Ukrainend Russia,,3,Standardnd Kontakt-1 ERA explosivermour,"43,000",60,500,Lenght: 9.53 m; Width: 3.59 m; Height: 2.14 m,"infrared night vison, laser range finder, fire control system, NBC protection system",9.53,3.59,2.14
T-64BV MBT,"One 125 mm 2A46 smoothbore gun, one 7.62 mm PKT machine gun, one 12.7 mm NSVT machine gun, 12 smoke-grenades discharger","Algeria, Angola, Armenia, Azerbaidjan, Belarus, Bulgaria, Croatia, Czech Republic, Finland, Georgia, Hungary, India, Iran, Iraq, Kazakhstan, Kyrgyzstan, Libya, Macedonia, Morocco, Poland, Russia, Sierra Leone, Slovakia, Syria, Tajikistan, Turkmenistan, Ukraine, Uzbekistan, Yemen, Croatia, Serbia.",Russia,,3,500 - 600 mm armor maximum,"46,500",60  on road,"480 
550  with additional fuel drums",Length: 9.54 m; Width: 3.59 m; Height: 2.23 m,"NBC protection system, night vision system, laser range finder, snorkel with a fording kit",9.54,3.59,2.23
T-72B,"One 125mm gun, one 7.62mm coaxial machine gun, one 12.7mm heavy machine gun.",Russia and many other countries,Russia,,3,"Standard armor, explosive reactive armor, passive armor package","44,500",60,500,Length: 9.53 m; Width: 6.86 m; Height: 3.46 m,"Fire control system, laser range-finder, NBC protection system",9.53,6.86,3.46
T-72B1MS White Eagle,"One 125 mm cannon, one 7.62mm coaxial machine gun, and remotely operated weapon station 12.7mm caliber","Laos,  Nicaragua, Serbia, Vietnam",Russia,,3,Standard protection against firing of small arms and artillery shell splinters. ERA  Kontakt-1 and in option wire cage armor,"47,300",60,700,Length: 9.54 m; Width: 3.59 m; Height: ? m,"Automatic fire control system, Sosna-U day/night gunner`s sight, panoramic sight for commander, GPS navigation system",9.54,3.59,  ?
T-72B3,"One 125mm gun, one 7.62 PKTM machine gun and one 12.7mm NSV machine gun.","Russia, Belarus",Russia,,3,Standard armor with Kontakt-5 explosive reactive armor,"46,000",70,500,Length: 9.53 m; Width: 3.59 m; Height: 2.22 m,"NBC protection system, night vision equipment, satellite navigation system GLONASS, laser warning system, laser range finder, and automatized fire control system",9.53,3.59,2.22
T-72B3,"One 125mm gun, one 7.62 PKTM machine gun and one 12.7mm NSV machine gun.",Russia,"Russia, Belarus",,3,Standard and explosive reactive armor Relikt.,"45,000",60,550,Length: 9.53 m; Width: 3.59 m; Height: 2.22 m,"Night vision, fording kit, overpressure-type NBC protection system, laser range finder, thermal sight, ballistic computer, panoramic sight, image
intensifier,",9.53,3.59,2.22
T-72M1M,"one 125 mm 2A46 gun, one 7.62 mm PKT coaxial machine gun, one NSVT or PKT 12.7 mm machine gun, 12 81 mm smoke grenade discharger.",Proposal for Venezueland Peru,,,3 soldiers,"Steel armour and laminate armour, ERA explosive reactive armor",45,65  maximum speed on road,600,"Lenght, 9,24 m; Width, 4,75 m; Height, 2,37 m","Guided weapon system, fire control system, night and day vision, ballistic computer, armament stabilizer, automatic target tracker, electromagnetic protection system, satellite navigation sytem, NBC defence protection, fire-fighting equipment","Lenght, 9,24","  4,75","  2,37"
T-72M4 (FR),"Une mitrailleuse de 7,62 mm, une mitrailleuse de 14,5 mm et un canon de 125 mm",République Tchèque,,,3,Blindage réactif,41,65,620,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,"Conduite de tir, système de vision nuit/jour, protection incendie et NBC.", ,  ,  
T-72UA1,"one 125 mm 2A46M-1 smoothbore gun, one 7.62mm coaxila machinend 12.7mm heavy machine gun",Ukraine,Ukraine,,3,Standardnd Kontakt explosivermour,"45,000",65,500,Lenght: 9.5 m; Width: 3.5 m; Height: 2.2 m,"infrared night vison, laser range finder, fire control system, NBC protection system",9.5,3.5,2.2
T-80 Main Battle Tank Data,"one 125 mm gun, one 7.62 mm PKT machine gun, one NSVT or PKT 12.7 mm machine gun, 8-12 81 mm smoke grenade discharger.","Belarus, Cyprus, Kazakhstan, South Korea, Pakistan, Russia, Ukraine, Yemen.",Russia,,3,"550mm turret,500mm hull","42,500",70  maximum road speed,"335 , 440  with additional fuel drums.","Length: 9,9 m; Width: 3,4 m; Height: 2,20 m","Night vision, NBC protection, add-on armour, a fording system with a snorkel. laser range-finder,"," 9,9","  3,4","  2,20"
